======================================================================
                               Results
======================================================================
Process number|Arrival time    | CPU Burst    |Start Time    |Completion
   38         | 1269         |        23         | 1373    | 1389
   41         | 1331         |         1         | 1389    | 1390
   44         | 1365         |        22         | 1390    |interupted
   45         | 1401         |        30         | 1401    | 1431
   47         | 1431         |        10         | 1431    | 1441
   48         | 1440         |        37         | 1441    | 1478
   46         | 1413         |         5         | 1478    | 1483
   44         | 1365         |        22         | 1483    |interupted
   49         | 1488         |         2         | 1488    | 1490
   44         | 1365         |        22         | 1490    | 1496
   50         | 1523         |        20         | 1523    | 1543
   51         | 1556         |         3         | 1556    | 1559
   52         | 1576         |        12         | 1576    |interupted
   53         | 1587         |        13         | 1587    | 1600
   54         | 1596         |         5         | 1600    | 1605
   52         | 1576         |        12         | 1605    | 1606
   55         | 1638         |        24         | 1638    | 1662
   56         | 1689         |        13         | 1689    | 1702
   57         | 1737         |        28         | 1737    |interupted
   58         | 1761         |        32         | 1761    | 1793
   57         | 1737         |        28         | 1793    | 1797
   59         | 1818         |         8         | 1818    | 1826
   60         | 1827         |        25         | 1827    | 1852
   61         | 1882         |         2         | 1882    | 1884
   62         | 1899         |        29         | 1899    | 1928
   63         | 1939         |        13         | 1939    | 1952
   64         | 1940         |        18         | 1952    | 1970
   65         | 1973         |         7         | 1973    | 1980
   66         | 2022         |        36         | 2022    | 2058
   67         | 2076         |         1         | 2076    | 2077
   68         | 2093         |        33         | 2093    |interupted
   69         | 2104         |        34         | 2104    | 2138
   68         | 2093         |        33         | 2138    |interupted
   70         | 2147         |        20         | 2147    | 2167
   68         | 2093         |        33         | 2167    | 2180
   71         | 2189         |        29         | 2189    | 2218
   72         | 2248         |        26         | 2248    |interupted
   73         | 2265         |         8         | 2265    | 2273
   72         | 2248         |        26         | 2273    | 2282
   74         | 2300         |        36         | 2300    | 2336
   75         | 2306         |        40         | 2336    |interupted
   76         | 2357         |        18         | 2357    |interupted
   77         | 2374         |        21         | 2374    | 2395
   76         | 2357         |        18         | 2395    | 2396
   75         | 2306         |        40         | 2396    | 2415
   78         | 2433         |        30         | 2433    | 2463
   79         | 2492         |        32         | 2492    |interupted
   80         | 2502         |         4         | 2502    | 2506
   79         | 2492         |        32         | 2506    | 2528
   81         | 2524         |        12         | 2528    | 2540
   82         | 2561         |        11         | 2561    | 2572
   83         | 2574         |        24         | 2574    | 2598
   84         | 2605         |        32         | 2605    |interupted
   85         | 2607         |        23         | 2607    | 2630
   84         | 2605         |        32         | 2630    |interupted
   86         | 2658         |        32         | 2658    | 2690
   84         | 2605         |        32         | 2690    | 2692
   87         | 2712         |        37         | 2712    | 2749
   88         | 2745         |        38         | 2749    | 2787
   89         | 2786         |        33         | 2787    | 2820
   90         | 2826         |         1         | 2826    | 2827
   91         | 2832         |        29         | 2832    |interupted
   92         | 2854         |        39         | 2854    | 2893
   93         | 2882         |        27         | 2893    | 2920
   91         | 2832         |        29         | 2920    | 2927
   94         | 2899         |        25         | 2927    |interupted
   95         | 2944         |        12         | 2944    | 2956
   94         | 2899         |        25         | 2956    | 2964
   96         | 2976         |        33         | 2976    |interupted
   97         | 2980         |         4         | 2980    | 2984
   96         | 2976         |        33         | 2984    | 3013
   98         | 3007         |        23         | 3013    | 3036
   99         | 3022         |        30         | 3036    |interupted
  100         | 3060         |        34         | 3060    | 3094
   99         | 3022         |        30         | 3094    | 3100
  101         | 3095         |        38         | 3100    |interupted
  102         | 3103         |        40         | 3103    | 3143
  103         | 3106         |        10         | 3143    | 3153
  101         | 3095         |        38         | 3153    |interupted
  104         | 3164         |        35         | 3164    | 3199
  107         | 3198         |        39         | 3199    | 3238
  101         | 3095         |        38         | 3238    | 3262
  106         | 3185         |        31         | 3262    | 3293
  108         | 3255         |        21         | 3293    | 3314
  105         | 3172         |        21         | 3314    | 3335
  109         | 3265         |        17         | 3335    | 3352
  110         | 3312         |        18         | 3352    | 3370
  111         | 3328         |        16         | 3370    | 3386
  112         | 3360         |        33         | 3386    |interupted
  114         | 3395         |        38         | 3395    | 3433
  112         | 3360         |        33         | 3433    |interupted
  115         | 3443         |         4         | 3443    | 3447
  112         | 3360         |        33         | 3447    | 3461
  113         | 3367         |        13         | 3461    |interupted
  116         | 3467         |         3         | 3467    | 3470
  113         | 3367         |        13         | 3470    | 3477
  117         | 3513         |        40         | 3513    | 3553
  118         | 3565         |        10         | 3565    | 3575
  119         | 3580         |         8         | 3580    | 3588
  120         | 3629         |        15         | 3629    | 3644
  121         | 3646         |        19         | 3646    | 3665
  122         | 3702         |        37         | 3702    |interupted
  123         | 3722         |         4         | 3722    | 3726
  122         | 3702         |        37         | 3726    | 3743
  124         | 3766         |        27         | 3766    | 3793
  125         | 3816         |        17         | 3816    | 3833
  126         | 3858         |         8         | 3858    |interupted
  127         | 3861         |        30         | 3861    | 3891
  126         | 3858         |         8         | 3891    | 3896
  128         | 3893         |        32         | 3896    |interupted
  129         | 3901         |        33         | 3901    |interupted
  130         | 3924         |        39         | 3924    | 3963
  129         | 3901         |        33         | 3963    | 3973
  132         | 3950         |        29         | 3973    | 4002
  131         | 3933         |         9         | 4002    | 4011
  128         | 3893         |        32         | 4011    |interupted
  134         | 4034         |        19         | 4034    | 4053
  128         | 3893         |        32         | 4053    | 4057
  133         | 3983         |        20         | 4057    |interupted
  135         | 4065         |        40         | 4065    |interupted
  137         | 4103         |        11         | 4103    | 4114
  135         | 4065         |        40         | 4114    | 4116
  136         | 4081         |        26         | 4116    |interupted
  138         | 4133         |        21         | 4133    | 4154
  139         | 4143         |        17         | 4154    | 4171
  136         | 4081         |        26         | 4171    | 4180
  133         | 3983         |        20         | 4180    | 4192
  140         | 4200         |        24         | 4200    | 4224
  141         | 4222         |        21         | 4224    |interupted
  142         | 4233         |        31         | 4233    | 4264
  141         | 4222         |        21         | 4264    | 4276
  143         | 4293         |        19         | 4293    | 4312
  144         | 4321         |        33         | 4321    | 4354
  145         | 4375         |        39         | 4375    |interupted
  146         | 4412         |         7         | 4412    | 4419
  145         | 4375         |        39         | 4419    | 4421
  147         | 4429         |        11         | 4429    | 4440
  148         | 4482         |        14         | 4482    | 4496
  149         | 4522         |        20         | 4522    | 4542
  150         | 4575         |        32         | 4575    | 4607
  151         | 4605         |        31         | 4607    |interupted
  152         | 4623         |        30         | 4623    | 4653
  151         | 4605         |        31         | 4653    | 4668
  153         | 4676         |        11         | 4676    | 4687
  154         | 4719         |        38         | 4719    | 4757
  155         | 4723         |        31         | 4757    |interupted
  156         | 4761         |        25         | 4761    | 4786
  157         | 4763         |        18         | 4786    | 4804
  155         | 4723         |        31         | 4804    |interupted
  158         | 4821         |        34         | 4821    | 4855
  159         | 4838         |        12         | 4855    | 4867
  155         | 4723         |        31         | 4867    | 4877
  160         | 4888         |         3         | 4888    | 4891
  161         | 4905         |        38         | 4905    |interupted
  162         | 4939         |        38         | 4939    | 4977
  161         | 4905         |        38         | 4977    | 4981
  163         | 4999         |        32         | 4999    | 5031
  164         | 5041         |        28         | 5041    | 5069
  165         | 5075         |         1         | 5075    | 5076
  166         | 5135         |        40         | 5135    | 5175
  167         | 5164         |        19         | 5175    |interupted
  168         | 5190         |        35         | 5190    | 5225
  167         | 5164         |        19         | 5225    | 5229
  169         | 5214         |         6         | 5229    | 5235
  170         | 5219         |        27         | 5235    | 5262
  171         | 5264         |        21         | 5264    | 5285
  172         | 5274         |        35         | 5285    | 5320
  173         | 5295         |         1         | 5320    | 5321
  174         | 5329         |        30         | 5329    | 5359
  175         | 5378         |        18         | 5378    | 5396
  176         | 5412         |         9         | 5412    | 5421
  177         | 5460         |        12         | 5460    | 5472
  178         | 5473         |         4         | 5473    | 5477
  179         | 5528         |         8         | 5528    | 5536
  180         | 5582         |        14         | 5582    |interupted
  181         | 5594         |         7         | 5594    | 5601
  180         | 5582         |        14         | 5601    | 5603
  182         | 5652         |        15         | 5652    | 5667
  184         | 5685         |        23         | 5685    | 5708
  183         | 5685         |        38         | 5708    |interupted
  185         | 5715         |        12         | 5715    | 5727
  183         | 5685         |        38         | 5727    | 5758
  186         | 5760         |         7         | 5760    | 5767
  187         | 5774         |        29         | 5774    | 5803
  188         | 5813         |        38         | 5813    | 5851
  189         | 5858         |         6         | 5858    | 5864
  190         | 5917         |        38         | 5917    | 5955
  191         | 5948         |        29         | 5955    |interupted
  192         | 5970         |         3         | 5970    | 5973
  191         | 5948         |        29         | 5973    | 5987
  193         | 5989         |         1         | 5989    | 5990
  194         | 6024         |        22         | 6024    | 6046
  195         | 6080         |        18         | 6080    | 6098
  196         | 6098         |        22         | 6098    | 6120
  197         | 6143         |         3         | 6143    | 6146
  198         | 6195         |        23         | 6195    |interupted
  199         | 6203         |        34         | 6203    | 6237
  198         | 6195         |        23         | 6237    | 6252
  202         | 6246         |        33         | 6252    |interupted
  203         | 6267         |         5         | 6267    | 6272
  202         | 6246         |        33         | 6272    |interupted
  204         | 6283         |        15         | 6283    | 6298
  202         | 6246         |        33         | 6298    | 6305
  205         | 6305         |        32         | 6305    |interupted
  206         | 6311         |        31         | 6311    | 6342
  205         | 6305         |        32         | 6342    | 6368
  207         | 6368         |        16         | 6368    | 6384
  208         | 6369         |        23         | 6384    |interupted
  209         | 6400         |         1         | 6400    | 6401
  208         | 6369         |        23         | 6401    | 6408
  200         | 6203         |        22         | 6408    | 6430
  201         | 6220         |        31         | 6430    |interupted
  210         | 6446         |        40         | 6446    | 6486
  211         | 6485         |        38         | 6486    |interupted
  212         | 6508         |        31         | 6508    |interupted
  213         | 6515         |        39         | 6515    | 6554
  212         | 6508         |        31         | 6554    |interupted
  218         | 6570         |        10         | 6570    | 6580
  212         | 6508         |        31         | 6580    |interupted
  219         | 6586         |        11         | 6586    | 6597
  212         | 6508         |        31         | 6597    | 6599
  215         | 6534         |        20         | 6599    | 6619
  214         | 6533         |        35         | 6619    | 6654
  216         | 6551         |        30         | 6654    |interupted
  221         | 6660         |         4         | 6660    | 6664
  216         | 6551         |        30         | 6664    | 6688
  217         | 6554         |        15         | 6688    |interupted
  222         | 6699         |         7         | 6699    | 6706
  217         | 6554         |        15         | 6706    | 6710
  211         | 6485         |        38         | 6710    | 6726
  220         | 6627         |        23         | 6726    | 6749
  223         | 6735         |         6         | 6749    | 6755
  201         | 6220         |        31         | 6755    | 6770
  224         | 6792         |        31         | 6792    | 6823
  225         | 6831         |         9         | 6831    | 6840
  226         | 6852         |        29         | 6852    | 6881
  227         | 6881         |        28         | 6881    | 6909
  228         | 6934         |        39         | 6934    |interupted
  229         | 6959         |        18         | 6959    | 6977
  228         | 6934         |        39         | 6977    | 6991
  230         | 6981         |        25         | 6991    |interupted
  231         | 7006         |        11         | 7006    | 7017
  230         | 6981         |        25         | 7017    |interupted
  232         | 7024         |        28         | 7024    | 7052
  233         | 7027         |        24         | 7052    | 7076
  234         | 7072         |        35         | 7076    |interupted
  235         | 7083         |         3         | 7083    | 7086
  234         | 7072         |        35         | 7086    | 7114
  236         | 7100         |         2         | 7114    | 7116
  230         | 6981         |        25         | 7116    | 7119
  237         | 7137         |         2         | 7137    | 7139
  238         | 7158         |        26         | 7158    | 7184
  239         | 7217         |         9         | 7217    |interupted
  240         | 7224         |         2         | 7224    | 7226
  239         | 7217         |         9         | 7226    | 7228
  241         | 7253         |         1         | 7253    | 7254
  242         | 7286         |        25         | 7286    | 7311
  243         | 7313         |        31         | 7313    | 7344
  244         | 7364         |        14         | 7364    | 7378
  245         | 7412         |         9         | 7412    | 7421
  246         | 7433         |         8         | 7433    | 7441
  248         | 7446         |        16         | 7446    | 7462
  247         | 7446         |         7         | 7462    | 7469
  249         | 7505         |        18         | 7505    |interupted
  250         | 7507         |        18         | 7507    | 7525
  249         | 7505         |        18         | 7525    | 7541
  251         | 7513         |        29         | 7541    | 7570
  252         | 7573         |        14         | 7573    | 7587
  253         | 7616         |         4         | 7616    | 7620
  254         | 7665         |        31         | 7665    | 7696
  255         | 7710         |        17         | 7710    | 7727
  256         | 7712         |        25         | 7727    | 7752
  257         | 7770         |        23         | 7770    |interupted
  258         | 7777         |        24         | 7777    | 7801
  257         | 7770         |        23         | 7801    | 7817
  259         | 7834         |        24         | 7834    |interupted
  260         | 7837         |        11         | 7837    | 7848
  259         | 7834         |        24         | 7848    | 7869
  261         | 7844         |        37         | 7869    |interupted
  262         | 7874         |        23         | 7874    |interupted
  264         | 7893         |         5         | 7893    | 7898
  262         | 7874         |        23         | 7898    | 7902
  261         | 7844         |        37         | 7902    |interupted
  265         | 7913         |        30         | 7913    | 7943
  261         | 7844         |        37         | 7943    |interupted
  266         | 7946         |        35         | 7946    | 7981
  267         | 7948         |        15         | 7981    | 7996
  261         | 7844         |        37         | 7996    |interupted
  269         | 7998         |         7         | 7998    | 8005
  261         | 7844         |        37         | 8005    | 8021
  268         | 7953         |        19         | 8021    | 8040
  263         | 7887         |        14         | 8040    | 8054
  270         | 8056         |         9         | 8056    | 8065
  271         | 8087         |        15         | 8087    |interupted
  272         | 8094         |        27         | 8094    | 8121
  271         | 8087         |        15         | 8121    | 8129
  273         | 8096         |        29         | 8129    | 8158
  274         | 8124         |        31         | 8158    | 8189
  275         | 8178         |        36         | 8189    |interupted
  276         | 8217         |        21         | 8217    | 8238
  275         | 8178         |        36         | 8238    | 8246
  277         | 8262         |        32         | 8262    |interupted
  280         | 8276         |        23         | 8276    | 8299
  277         | 8262         |        32         | 8299    | 8317
  278         | 8274         |        39         | 8317    | 8356
  279         | 8276         |         8         | 8356    | 8364
  281         | 8303         |        13         | 8364    | 8377
  282         | 8361         |        21         | 8377    | 8398
  283         | 8406         |        39         | 8406    |interupted
  284         | 8423         |        20         | 8423    | 8443
  283         | 8406         |        39         | 8443    |interupted
  285         | 8455         |        38         | 8455    | 8493
  283         | 8406         |        39         | 8493    | 8503
  286         | 8492         |         6         | 8503    | 8509
  287         | 8511         |        12         | 8511    | 8523
  288         | 8533         |        20         | 8533    | 8553
  290         | 8562         |        32         | 8562    | 8594
  289         | 8562         |        12         | 8594    |interupted
  291         | 8600         |        22         | 8600    | 8622
  289         | 8562         |        12         | 8622    | 8628
  292         | 8650         |        10         | 8650    | 8660
  293         | 8665         |        34         | 8665    | 8699
  294         | 8708         |        33         | 8708    | 8741
  295         | 8766         |        19         | 8766    | 8785
  296         | 8797         |         7         | 8797    | 8804
  297         | 8835         |        39         | 8835    | 8874
  298         | 8866         |        29         | 8874    |interupted
  299         | 8875         |        36         | 8875    | 8911
  298         | 8866         |        29         | 8911    |interupted
  300         | 8934         |        14         | 8934    | 8948
  298         | 8866         |        29         | 8948    | 8953
  301         | 8987         |        37         | 8987    | 9024
  302         | 8988         |        13         | 9024    | 9037
  303         | 9022         |         3         | 9037    | 9040
  304         | 9036         |        28         | 9040    | 9068
  305         | 9070         |        21         | 9070    | 9091
  306         | 9120         |         4         | 9120    | 9124
  307         | 9137         |        39         | 9137    | 9176
  308         | 9178         |        12         | 9178    | 9190
  309         | 9208         |        15         | 9208    | 9223
  310         | 9268         |        11         | 9268    | 9279
  311         | 9280         |        10         | 9280    |interupted
  312         | 9288         |        23         | 9288    | 9311
  311         | 9280         |        10         | 9311    | 9313
  314         | 9309         |        28         | 9313    | 9341
  313         | 9307         |        19         | 9341    | 9360
  315         | 9330         |         3         | 9360    | 9363
  316         | 9388         |        36         | 9388    | 9424
  317         | 9420         |         3         | 9424    | 9427
  318         | 9444         |         1         | 9444    | 9445
  319         | 9477         |        39         | 9477    |interupted
  320         | 9496         |         4         | 9496    | 9500
  319         | 9477         |        39         | 9500    | 9520
  321         | 9546         |         3         | 9546    | 9549
  322         | 9591         |        10         | 9591    | 9601
  323         | 9620         |        32         | 9620    | 9652
  324         | 9679         |        23         | 9679    | 9702
  325         | 9724         |        28         | 9724    |interupted
  326         | 9748         |        24         | 9748    | 9772
  325         | 9724         |        28         | 9772    | 9776
  327         | 9772         |        18         | 9776    |interupted
  328         | 9792         |        38         | 9792    | 9830
  327         | 9772         |        18         | 9830    | 9832
  329         | 9834         |         1         | 9834    | 9835
  330         | 9882         |        24         | 9882    |interupted
  331         | 9897         |         8         | 9897    | 9905
  330         | 9882         |        24         | 9905    | 9914
  332         | 9925         |        19         | 9925    | 9944
  333         | 9954         |        19         | 9954    |interupted
  334         | 9960         |        40         | 9960    |interupted
  335         | 9994         |        29         | 9994    |10023
  334         | 9960         |        40         |10023    |10029
  336         |10007         |         7         |10029    |10036
  333         | 9954         |        19         |10036    |10049
  337         |10049         |        33         |10049    |10082
  338         |10089         |        10         |10089    |interupted
  339         |10098         |        29         |10098    |10127
  338         |10089         |        10         |10127    |10128
  340         |10104         |        10         |10128    |10138
  341         |10120         |        10         |10138    |10148
  342         |10126         |        13         |10148    |10161
  343         |10184         |         9         |10184    |10193
  344         |10226         |        29         |10226    |10255
  345         |10257         |        23         |10257    |10280
  346         |10294         |        29         |10294    |10323
  347         |10298         |        26         |10323    |interupted
  349         |10348         |        40         |10348    |10388
  347         |10298         |        26         |10388    |10389
  348         |10318         |        23         |10389    |interupted
  350         |10391         |        23         |10391    |interupted
  351         |10413         |        38         |10413    |10451
  350         |10391         |        23         |10451    |10452
  352         |10446         |        13         |10452    |10465
  353         |10461         |        34         |10465    |10499
  348         |10318         |        23         |10499    |interupted
  354         |10516         |        13         |10516    |10529
  348         |10318         |        23         |10529    |10533
  355         |10562         |        19         |10562    |interupted
  356         |10579         |        20         |10579    |10599
  359         |10599         |        40         |10599    |10639
  355         |10562         |        19         |10639    |10641
  358         |10599         |        25         |10641    |10666
  357         |10595         |         1         |10666    |10667
  360         |10638         |         5         |10667    |10672
  361         |10672         |         4         |10672    |10676
  362         |10701         |        30         |10701    |10731
  363         |10744         |         8         |10744    |10752
  364         |10744         |        17         |10752    |10769
  365         |10770         |        30         |10770    |10800
  366         |10810         |        14         |10810    |interupted
  367         |10819         |        12         |10819    |10831
  366         |10810         |        14         |10831    |10836
  368         |10823         |        24         |10836    |interupted
  369         |10842         |         7         |10842    |10849
  368         |10823         |        24         |10849    |10867
  370         |10855         |        15         |10867    |10882
  371         |10906         |        15         |10906    |10921
  372         |10956         |         7         |10956    |10963
  373         |11016         |        28         |11016    |11044
  374         |11022         |        20         |11044    |11064
  375         |11070         |         3         |11070    |11073
  376         |11121         |        15         |11121    |11136
  377         |11178         |        16         |11178    |11194
  378         |11220         |        30         |11220    |interupted
  379         |11248         |        16         |11248    |11264
  378         |11220         |        30         |11264    |11266
  380         |11303         |        13         |11303    |interupted
  381         |11304         |        39         |11304    |interupted
  382         |11329         |        37         |11329    |11366
  381         |11304         |        39         |11366    |11380
  384         |11370         |        11         |11380    |11391
  383         |11358         |        16         |11391    |11407
  380         |11303         |        13         |11407    |interupted
  385         |11412         |        17         |11412    |11429
  380         |11303         |        13         |11429    |interupted
  386         |11431         |         1         |11431    |11432
  380         |11303         |        13         |11432    |11437
  387         |11452         |        36         |11452    |11488
  388         |11456         |        22         |11488    |11510
  390         |11465         |        32         |11510    |interupted
  393         |11529         |        34         |11529    |11563
  390         |11465         |        32         |11563    |11576
  391         |11484         |        36         |11576    |interupted
  394         |11585         |        39         |11585    |11624
  395         |11612         |        16         |11624    |11640
  391         |11484         |        36         |11640    |interupted
  396         |11654         |        13         |11654    |11667
  397         |11666         |         5         |11667    |11672
  391         |11484         |        36         |11672    |11685
  392         |11488         |        29         |11685    |11714
  389         |11462         |        17         |11714    |11731
  398         |11696         |        34         |11731    |interupted
  399         |11742         |        13         |11742    |11755
  400         |11742         |        37         |11755    |11792
  401         |11784         |         9         |11792    |11801
  398         |11696         |        34         |11801    |11824
  402         |11834         |        22         |11834    |11856
  403         |11838         |        39         |11856    |interupted
  404         |11887         |        25         |11887    |11912
  405         |11891         |         2         |11912    |11914
  403         |11838         |        39         |11914    |11922
  406         |11915         |        23         |11922    |11945
  407         |11915         |        24         |11945    |11969
  408         |11949         |        36         |11969    |interupted
  409         |11995         |        30         |11995    |12025
  408         |11949         |        36         |12025    |12035
  410         |12015         |        31         |12035    |12066
  411         |12028         |        36         |12066    |interupted
  412         |12071         |        28         |12071    |12099
  414         |12098         |        10         |12099    |12109
  413         |12072         |        39         |12109    |interupted
  415         |12142         |        20         |12142    |12162
  416         |12157         |        21         |12162    |12183
  413         |12072         |        39         |12183    |12189
  417         |12162         |        23         |12189    |12212
  411         |12028         |        36         |12212    |12243
  418         |12213         |        33         |12243    |interupted
  420         |12265         |        34         |12265    |12299
  421         |12294         |        37         |12299    |12336
  418         |12213         |        33         |12336    |12347
  419         |12261         |        31         |12347    |interupted
  422         |12352         |        18         |12352    |12370
  419         |12261         |        31         |12370    |interupted
  423         |12395         |        15         |12395    |12410
  419         |12261         |        31         |12410    |12411
  424         |12451         |        29         |12451    |12480
  425         |12498         |        38         |12498    |12536
  426         |12507         |        26         |12536    |interupted
  427         |12553         |        24         |12553    |12577
  426         |12507         |        26         |12577    |12586
  428         |12590         |        14         |12590    |12604
  429         |12609         |        19         |12609    |12628
  430         |12665         |        22         |12665    |12687
  431         |12707         |        35         |12707    |interupted
  432         |12730         |        35         |12730    |12765
  431         |12707         |        35         |12765    |interupted
  433         |12774         |        31         |12774    |12805
  431         |12707         |        35         |12805    |12808
  434         |12806         |        11         |12808    |12819
  435         |12847         |        34         |12847    |12881
  436         |12885         |         2         |12885    |12887
  437         |12933         |        23         |12933    |12956
  438         |12992         |        19         |12992    |13011
  439         |13033         |        34         |13033    |13067
  440         |13047         |        23         |13067    |interupted
  441         |13071         |        27         |13071    |13098
  440         |13047         |        23         |13098    |13117
  442         |13130         |         3         |13130    |13133
  443         |13174         |        30         |13174    |interupted
  444         |13187         |        35         |13187    |interupted
  446         |13197         |        32         |13197    |13229
  444         |13187         |        35         |13229    |interupted
  448         |13233         |        30         |13233    |13263
  444         |13187         |        35         |13263    |interupted
  450         |13265         |        28         |13265    |13293
  444         |13187         |        35         |13293    |13312
  445         |13194         |        15         |13312    |13327
  443         |13174         |        30         |13327    |13344
  449         |13260         |         9         |13344    |interupted
  452         |13346         |        39         |13346    |13385
  454         |13385         |        15         |13385    |13400
  449         |13260         |         9         |13400    |13407
  451         |13291         |         7         |13407    |13414
  453         |13363         |        24         |13414    |13438
  455         |13392         |        37         |13438    |interupted
  456         |13447         |        12         |13447    |13459
  457         |13458         |        34         |13459    |13493
  455         |13392         |        37         |13493    |interupted
  458         |13500         |        35         |13500    |13535
  459         |13527         |        17         |13535    |13552
  455         |13392         |        37         |13552    |interupted
  460         |13571         |         9         |13571    |13580
  455         |13392         |        37         |13580    |13582
  447         |13216         |        38         |13582    |interupted
  461         |13601         |         4         |13601    |13605
  447         |13216         |        38         |13605    |13624
  462         |13637         |        20         |13637    |13657
  463         |13691         |        14         |13691    |13705
  464         |13719         |         7         |13719    |13726
  465         |13777         |        23         |13777    |13800
  466         |13836         |         5         |13836    |13841
  467         |13890         |        24         |13890    |13914
  468         |13939         |        18         |13939    |13957
  469         |13952         |        20         |13957    |13977
  470         |13964         |         4         |13977    |13981
  471         |14023         |        35         |14023    |interupted
  472         |14057         |        28         |14057    |14085
  473         |14068         |        32         |14085    |interupted
  475         |14110         |        36         |14110    |14146
  473         |14068         |        32         |14146    |interupted
  477         |14150         |         5         |14150    |14155
  473         |14068         |        32         |14155    |14158
  471         |14023         |        35         |14158    |14159
  474         |14110         |        17         |14159    |14176
  478         |14155         |        12         |14176    |14188
  476         |14138         |        39         |14188    |interupted
  479         |14214         |        22         |14214    |14236
  476         |14138         |        39         |14236    |interupted
  480         |14240         |        34         |14240    |14274
  476         |14138         |        39         |14274    |interupted
  482         |14282         |         6         |14282    |14288
  476         |14138         |        39         |14288    |14289
  481         |14251         |        22         |14289    |14311
  483         |14332         |        11         |14332    |interupted
  484         |14333         |         5         |14333    |interupted
  485         |14337         |        24         |14337    |14361
  484         |14333         |         5         |14361    |14362
  483         |14332         |        11         |14362    |14372
  486         |14385         |        17         |14385    |14402
  487         |14406         |         1         |14406    |14407
  488         |14410         |        34         |14410    |14444
  489         |14456         |        17         |14456    |14473
  490         |14457         |        32         |14473    |interupted
  491         |14493         |        39         |14493    |14532
  490         |14457         |        32         |14532    |14544
  492         |14549         |        14         |14549    |interupted
  493         |14559         |        22         |14559    |interupted
  494         |14572         |        24         |14572    |14596
  493         |14559         |        22         |14596    |14605
  492         |14549         |        14         |14605    |14609
  495         |14619         |        27         |14619    |interupted
  496         |14630         |        30         |14630    |14660
  495         |14619         |        27         |14660    |14676
  497         |14689         |        33         |14689    |14722
  498         |14690         |        13         |14722    |interupted
  499         |14731         |         9         |14731    |14740
  498         |14690         |        13         |14740    |14744
  500         |14757         |        17         |14757    |14774
  501         |14793         |        27         |14793    |14820
  502         |14840         |         2         |14840    |14842
  503         |14879         |        30         |14879    |14909
  504         |14898         |        29         |14909    |interupted
  505         |14915         |        39         |14915    |14954
  504         |14898         |        29         |14954    |14977
  506         |14970         |        35         |14977    |15012
  507         |15012         |        23         |15012    |interupted
  508         |15014         |        27         |15014    |15041
  507         |15012         |        23         |15041    |15062
  509         |15064         |        37         |15064    |15101
  510         |15064         |        29         |15101    |interupted
  511         |15116         |        10         |15116    |15126
  510         |15064         |        29         |15126    |15140
  512         |15153         |        29         |15153    |15182
======================================================================
                          Scheduling Results
======================================================================
__________________________________________________
Total Time Elapsed:           15182
CPU Utilization:              71.74%
Throughput:                   21.23
Average Waiting Time:         24.33
Average Turnaround Time       42.04
