======================================================================
                               Results
======================================================================
Process number|Arrival time    | CPU Burst    |Start Time    |Completion
   49         | 1488         |         2         | 1494    | 1496
   50         | 1523         |        20         | 1523    | 1543
   51         | 1556         |         3         | 1556    | 1559
   52         | 1576         |        12         | 1576    | 1588
   53         | 1587         |        13         | 1588    | 1601
   54         | 1596         |         5         | 1601    | 1606
   55         | 1638         |        24         | 1638    | 1662
   56         | 1689         |        13         | 1689    | 1702
   57         | 1737         |        28         | 1737    | 1765
   58         | 1761         |        32         | 1765    | 1797
   59         | 1818         |         8         | 1818    | 1826
   60         | 1827         |        25         | 1827    | 1852
   61         | 1882         |         2         | 1882    | 1884
   62         | 1899         |        29         | 1899    | 1928
   63         | 1939         |        13         | 1939    | 1952
   64         | 1940         |        18         | 1952    | 1970
   65         | 1973         |         7         | 1973    | 1980
   66         | 2022         |        36         | 2022    | 2058
   67         | 2076         |         1         | 2076    | 2077
   68         | 2093         |        33         | 2093    | 2126
   69         | 2104         |        34         | 2126    | 2160
   70         | 2147         |        20         | 2160    | 2180
   71         | 2189         |        29         | 2189    | 2218
   72         | 2248         |        26         | 2248    | 2274
   73         | 2265         |         8         | 2274    | 2282
   74         | 2300         |        36         | 2300    | 2336
   75         | 2306         |        40         | 2336    | 2376
   76         | 2357         |        18         | 2376    | 2394
   77         | 2374         |        21         | 2394    | 2415
   78         | 2433         |        30         | 2433    | 2463
   79         | 2492         |        32         | 2492    | 2524
   80         | 2502         |         4         | 2524    | 2528
   81         | 2524         |        12         | 2528    | 2540
   82         | 2561         |        11         | 2561    | 2572
   83         | 2574         |        24         | 2574    | 2598
   84         | 2605         |        32         | 2605    | 2637
   85         | 2607         |        23         | 2637    | 2660
   86         | 2658         |        32         | 2660    | 2692
   87         | 2712         |        37         | 2712    | 2749
   88         | 2745         |        38         | 2749    | 2787
   89         | 2786         |        33         | 2787    | 2820
   90         | 2826         |         1         | 2826    | 2827
   91         | 2832         |        29         | 2832    | 2861
   92         | 2854         |        39         | 2861    | 2900
   93         | 2882         |        27         | 2900    | 2927
   94         | 2899         |        25         | 2927    | 2952
   95         | 2944         |        12         | 2952    | 2964
   96         | 2976         |        33         | 2976    | 3009
   97         | 2980         |         4         | 3009    | 3013
   98         | 3007         |        23         | 3013    | 3036
   99         | 3022         |        30         | 3036    | 3066
  100         | 3060         |        34         | 3066    | 3100
  101         | 3095         |        38         | 3100    | 3138
  102         | 3103         |        40         | 3138    | 3178
  103         | 3106         |        10         | 3178    | 3188
  104         | 3164         |        35         | 3188    | 3223
  105         | 3172         |        21         | 3223    | 3244
  106         | 3185         |        31         | 3244    | 3275
  107         | 3198         |        39         | 3275    | 3314
  108         | 3255         |        21         | 3314    | 3335
  109         | 3265         |        17         | 3335    | 3352
  110         | 3312         |        18         | 3352    | 3370
  111         | 3328         |        16         | 3370    | 3386
  112         | 3360         |        33         | 3386    | 3419
  113         | 3367         |        13         | 3419    | 3432
  114         | 3395         |        38         | 3432    | 3470
  115         | 3443         |         4         | 3470    | 3474
  116         | 3467         |         3         | 3474    | 3477
  117         | 3513         |        40         | 3513    | 3553
  118         | 3565         |        10         | 3565    | 3575
  119         | 3580         |         8         | 3580    | 3588
  120         | 3629         |        15         | 3629    | 3644
  121         | 3646         |        19         | 3646    | 3665
  122         | 3702         |        37         | 3702    | 3739
  123         | 3722         |         4         | 3739    | 3743
  124         | 3766         |        27         | 3766    | 3793
  125         | 3816         |        17         | 3816    | 3833
  126         | 3858         |         8         | 3858    | 3866
  127         | 3861         |        30         | 3866    | 3896
  128         | 3893         |        32         | 3896    | 3928
  129         | 3901         |        33         | 3928    | 3961
  130         | 3924         |        39         | 3961    | 4000
  131         | 3933         |         9         | 4000    | 4009
  132         | 3950         |        29         | 4009    | 4038
  133         | 3983         |        20         | 4038    | 4058
  134         | 4034         |        19         | 4058    | 4077
  135         | 4065         |        40         | 4077    | 4117
  136         | 4081         |        26         | 4117    | 4143
  137         | 4103         |        11         | 4143    | 4154
  138         | 4133         |        21         | 4154    | 4175
  139         | 4143         |        17         | 4175    | 4192
  140         | 4200         |        24         | 4200    | 4224
  141         | 4222         |        21         | 4224    | 4245
  142         | 4233         |        31         | 4245    | 4276
  143         | 4293         |        19         | 4293    | 4312
  144         | 4321         |        33         | 4321    | 4354
  145         | 4375         |        39         | 4375    | 4414
  146         | 4412         |         7         | 4414    | 4421
  147         | 4429         |        11         | 4429    | 4440
  148         | 4482         |        14         | 4482    | 4496
  149         | 4522         |        20         | 4522    | 4542
  150         | 4575         |        32         | 4575    | 4607
  151         | 4605         |        31         | 4607    | 4638
  152         | 4623         |        30         | 4638    | 4668
  153         | 4676         |        11         | 4676    | 4687
  154         | 4719         |        38         | 4719    | 4757
  155         | 4723         |        31         | 4757    | 4788
  156         | 4761         |        25         | 4788    | 4813
  157         | 4763         |        18         | 4813    | 4831
  158         | 4821         |        34         | 4831    | 4865
  159         | 4838         |        12         | 4865    | 4877
  160         | 4888         |         3         | 4888    | 4891
  161         | 4905         |        38         | 4905    | 4943
  162         | 4939         |        38         | 4943    | 4981
  163         | 4999         |        32         | 4999    | 5031
  164         | 5041         |        28         | 5041    | 5069
  165         | 5075         |         1         | 5075    | 5076
  166         | 5135         |        40         | 5135    | 5175
  167         | 5164         |        19         | 5175    | 5194
  168         | 5190         |        35         | 5194    | 5229
  169         | 5214         |         6         | 5229    | 5235
  170         | 5219         |        27         | 5235    | 5262
  171         | 5264         |        21         | 5264    | 5285
  172         | 5274         |        35         | 5285    | 5320
  173         | 5295         |         1         | 5320    | 5321
  174         | 5329         |        30         | 5329    | 5359
  175         | 5378         |        18         | 5378    | 5396
  176         | 5412         |         9         | 5412    | 5421
  177         | 5460         |        12         | 5460    | 5472
  178         | 5473         |         4         | 5473    | 5477
  179         | 5528         |         8         | 5528    | 5536
  180         | 5582         |        14         | 5582    | 5596
  181         | 5594         |         7         | 5596    | 5603
  182         | 5652         |        15         | 5652    | 5667
  183         | 5685         |        38         | 5685    | 5723
  184         | 5685         |        23         | 5723    | 5746
  185         | 5715         |        12         | 5746    | 5758
  186         | 5760         |         7         | 5760    | 5767
  187         | 5774         |        29         | 5774    | 5803
  188         | 5813         |        38         | 5813    | 5851
  189         | 5858         |         6         | 5858    | 5864
  190         | 5917         |        38         | 5917    | 5955
  191         | 5948         |        29         | 5955    | 5984
  192         | 5970         |         3         | 5984    | 5987
  193         | 5989         |         1         | 5989    | 5990
  194         | 6024         |        22         | 6024    | 6046
  195         | 6080         |        18         | 6080    | 6098
  196         | 6098         |        22         | 6098    | 6120
  197         | 6143         |         3         | 6143    | 6146
  198         | 6195         |        23         | 6195    | 6218
  199         | 6203         |        34         | 6218    | 6252
  200         | 6203         |        22         | 6252    | 6274
  201         | 6220         |        31         | 6274    | 6305
  202         | 6246         |        33         | 6305    | 6338
  203         | 6267         |         5         | 6338    | 6343
  204         | 6283         |        15         | 6343    | 6358
  205         | 6305         |        32         | 6358    | 6390
  206         | 6311         |        31         | 6390    | 6421
  207         | 6368         |        16         | 6421    | 6437
  208         | 6369         |        23         | 6437    | 6460
  209         | 6400         |         1         | 6460    | 6461
  210         | 6446         |        40         | 6461    | 6501
  211         | 6485         |        38         | 6501    | 6539
  212         | 6508         |        31         | 6539    | 6570
  213         | 6515         |        39         | 6570    | 6609
  214         | 6533         |        35         | 6609    | 6644
  215         | 6534         |        20         | 6644    | 6664
  216         | 6551         |        30         | 6664    | 6694
  217         | 6554         |        15         | 6694    | 6709
  218         | 6570         |        10         | 6709    | 6719
  219         | 6586         |        11         | 6719    | 6730
  220         | 6627         |        23         | 6730    | 6753
  221         | 6660         |         4         | 6753    | 6757
  222         | 6699         |         7         | 6757    | 6764
  223         | 6735         |         6         | 6764    | 6770
  224         | 6792         |        31         | 6792    | 6823
  225         | 6831         |         9         | 6831    | 6840
  226         | 6852         |        29         | 6852    | 6881
  227         | 6881         |        28         | 6881    | 6909
  228         | 6934         |        39         | 6934    | 6973
  229         | 6959         |        18         | 6973    | 6991
  230         | 6981         |        25         | 6991    | 7016
  231         | 7006         |        11         | 7016    | 7027
  232         | 7024         |        28         | 7027    | 7055
  233         | 7027         |        24         | 7055    | 7079
  234         | 7072         |        35         | 7079    | 7114
  235         | 7083         |         3         | 7114    | 7117
  236         | 7100         |         2         | 7117    | 7119
  237         | 7137         |         2         | 7137    | 7139
  238         | 7158         |        26         | 7158    | 7184
  239         | 7217         |         9         | 7217    | 7226
  240         | 7224         |         2         | 7226    | 7228
  241         | 7253         |         1         | 7253    | 7254
  242         | 7286         |        25         | 7286    | 7311
  243         | 7313         |        31         | 7313    | 7344
  244         | 7364         |        14         | 7364    | 7378
  245         | 7412         |         9         | 7412    | 7421
  246         | 7433         |         8         | 7433    | 7441
  247         | 7446         |         7         | 7446    | 7453
  248         | 7446         |        16         | 7453    | 7469
  249         | 7505         |        18         | 7505    | 7523
  250         | 7507         |        18         | 7523    | 7541
  251         | 7513         |        29         | 7541    | 7570
  252         | 7573         |        14         | 7573    | 7587
  253         | 7616         |         4         | 7616    | 7620
  254         | 7665         |        31         | 7665    | 7696
  255         | 7710         |        17         | 7710    | 7727
  256         | 7712         |        25         | 7727    | 7752
  257         | 7770         |        23         | 7770    | 7793
  258         | 7777         |        24         | 7793    | 7817
  259         | 7834         |        24         | 7834    | 7858
  260         | 7837         |        11         | 7858    | 7869
  261         | 7844         |        37         | 7869    | 7906
  262         | 7874         |        23         | 7906    | 7929
  263         | 7887         |        14         | 7929    | 7943
  264         | 7893         |         5         | 7943    | 7948
  265         | 7913         |        30         | 7948    | 7978
  266         | 7946         |        35         | 7978    | 8013
  267         | 7948         |        15         | 8013    | 8028
  268         | 7953         |        19         | 8028    | 8047
  269         | 7998         |         7         | 8047    | 8054
  270         | 8056         |         9         | 8056    | 8065
  271         | 8087         |        15         | 8087    | 8102
  272         | 8094         |        27         | 8102    | 8129
  273         | 8096         |        29         | 8129    | 8158
  274         | 8124         |        31         | 8158    | 8189
  275         | 8178         |        36         | 8189    | 8225
  276         | 8217         |        21         | 8225    | 8246
  277         | 8262         |        32         | 8262    | 8294
  278         | 8274         |        39         | 8294    | 8333
  279         | 8276         |         8         | 8333    | 8341
  280         | 8276         |        23         | 8341    | 8364
  281         | 8303         |        13         | 8364    | 8377
  282         | 8361         |        21         | 8377    | 8398
  283         | 8406         |        39         | 8406    | 8445
  284         | 8423         |        20         | 8445    | 8465
  285         | 8455         |        38         | 8465    | 8503
  286         | 8492         |         6         | 8503    | 8509
  287         | 8511         |        12         | 8511    | 8523
  288         | 8533         |        20         | 8533    | 8553
  289         | 8562         |        12         | 8562    | 8574
  290         | 8562         |        32         | 8574    | 8606
  291         | 8600         |        22         | 8606    | 8628
  292         | 8650         |        10         | 8650    | 8660
  293         | 8665         |        34         | 8665    | 8699
  294         | 8708         |        33         | 8708    | 8741
  295         | 8766         |        19         | 8766    | 8785
  296         | 8797         |         7         | 8797    | 8804
  297         | 8835         |        39         | 8835    | 8874
  298         | 8866         |        29         | 8874    | 8903
  299         | 8875         |        36         | 8903    | 8939
  300         | 8934         |        14         | 8939    | 8953
  301         | 8987         |        37         | 8987    | 9024
  302         | 8988         |        13         | 9024    | 9037
  303         | 9022         |         3         | 9037    | 9040
  304         | 9036         |        28         | 9040    | 9068
  305         | 9070         |        21         | 9070    | 9091
  306         | 9120         |         4         | 9120    | 9124
  307         | 9137         |        39         | 9137    | 9176
  308         | 9178         |        12         | 9178    | 9190
  309         | 9208         |        15         | 9208    | 9223
  310         | 9268         |        11         | 9268    | 9279
  311         | 9280         |        10         | 9280    | 9290
  312         | 9288         |        23         | 9290    | 9313
  313         | 9307         |        19         | 9313    | 9332
  314         | 9309         |        28         | 9332    | 9360
  315         | 9330         |         3         | 9360    | 9363
  316         | 9388         |        36         | 9388    | 9424
  317         | 9420         |         3         | 9424    | 9427
  318         | 9444         |         1         | 9444    | 9445
  319         | 9477         |        39         | 9477    | 9516
  320         | 9496         |         4         | 9516    | 9520
  321         | 9546         |         3         | 9546    | 9549
  322         | 9591         |        10         | 9591    | 9601
  323         | 9620         |        32         | 9620    | 9652
  324         | 9679         |        23         | 9679    | 9702
  325         | 9724         |        28         | 9724    | 9752
  326         | 9748         |        24         | 9752    | 9776
  327         | 9772         |        18         | 9776    | 9794
  328         | 9792         |        38         | 9794    | 9832
  329         | 9834         |         1         | 9834    | 9835
  330         | 9882         |        24         | 9882    | 9906
  331         | 9897         |         8         | 9906    | 9914
  332         | 9925         |        19         | 9925    | 9944
  333         | 9954         |        19         | 9954    | 9973
  334         | 9960         |        40         | 9973    |10013
  335         | 9994         |        29         |10013    |10042
  336         |10007         |         7         |10042    |10049
  337         |10049         |        33         |10049    |10082
  338         |10089         |        10         |10089    |10099
  339         |10098         |        29         |10099    |10128
  340         |10104         |        10         |10128    |10138
  341         |10120         |        10         |10138    |10148
  342         |10126         |        13         |10148    |10161
  343         |10184         |         9         |10184    |10193
  344         |10226         |        29         |10226    |10255
  345         |10257         |        23         |10257    |10280
  346         |10294         |        29         |10294    |10323
  347         |10298         |        26         |10323    |10349
  348         |10318         |        23         |10349    |10372
  349         |10348         |        40         |10372    |10412
  350         |10391         |        23         |10412    |10435
  351         |10413         |        38         |10435    |10473
  352         |10446         |        13         |10473    |10486
  353         |10461         |        34         |10486    |10520
  354         |10516         |        13         |10520    |10533
  355         |10562         |        19         |10562    |10581
  356         |10579         |        20         |10581    |10601
  357         |10595         |         1         |10601    |10602
  358         |10599         |        25         |10602    |10627
  359         |10599         |        40         |10627    |10667
  360         |10638         |         5         |10667    |10672
  361         |10672         |         4         |10672    |10676
  362         |10701         |        30         |10701    |10731
  363         |10744         |         8         |10744    |10752
  364         |10744         |        17         |10752    |10769
  365         |10770         |        30         |10770    |10800
  366         |10810         |        14         |10810    |10824
  367         |10819         |        12         |10824    |10836
  368         |10823         |        24         |10836    |10860
  369         |10842         |         7         |10860    |10867
  370         |10855         |        15         |10867    |10882
  371         |10906         |        15         |10906    |10921
  372         |10956         |         7         |10956    |10963
  373         |11016         |        28         |11016    |11044
  374         |11022         |        20         |11044    |11064
  375         |11070         |         3         |11070    |11073
  376         |11121         |        15         |11121    |11136
  377         |11178         |        16         |11178    |11194
  378         |11220         |        30         |11220    |11250
  379         |11248         |        16         |11250    |11266
  380         |11303         |        13         |11303    |11316
  381         |11304         |        39         |11316    |11355
  382         |11329         |        37         |11355    |11392
  383         |11358         |        16         |11392    |11408
  384         |11370         |        11         |11408    |11419
  385         |11412         |        17         |11419    |11436
  386         |11431         |         1         |11436    |11437
  387         |11452         |        36         |11452    |11488
  388         |11456         |        22         |11488    |11510
  389         |11462         |        17         |11510    |11527
  390         |11465         |        32         |11527    |11559
  391         |11484         |        36         |11559    |11595
  392         |11488         |        29         |11595    |11624
  393         |11529         |        34         |11624    |11658
  394         |11585         |        39         |11658    |11697
  395         |11612         |        16         |11697    |11713
  396         |11654         |        13         |11713    |11726
  397         |11666         |         5         |11726    |11731
  398         |11696         |        34         |11731    |11765
  399         |11742         |        13         |11765    |11778
  400         |11742         |        37         |11778    |11815
  401         |11784         |         9         |11815    |11824
  402         |11834         |        22         |11834    |11856
  403         |11838         |        39         |11856    |11895
  404         |11887         |        25         |11895    |11920
  405         |11891         |         2         |11920    |11922
  406         |11915         |        23         |11922    |11945
  407         |11915         |        24         |11945    |11969
  408         |11949         |        36         |11969    |12005
  409         |11995         |        30         |12005    |12035
  410         |12015         |        31         |12035    |12066
  411         |12028         |        36         |12066    |12102
  412         |12071         |        28         |12102    |12130
  413         |12072         |        39         |12130    |12169
  414         |12098         |        10         |12169    |12179
  415         |12142         |        20         |12179    |12199
  416         |12157         |        21         |12199    |12220
  417         |12162         |        23         |12220    |12243
  418         |12213         |        33         |12243    |12276
  419         |12261         |        31         |12276    |12307
  420         |12265         |        34         |12307    |12341
  421         |12294         |        37         |12341    |12378
  422         |12352         |        18         |12378    |12396
  423         |12395         |        15         |12396    |12411
  424         |12451         |        29         |12451    |12480
  425         |12498         |        38         |12498    |12536
  426         |12507         |        26         |12536    |12562
  427         |12553         |        24         |12562    |12586
  428         |12590         |        14         |12590    |12604
  429         |12609         |        19         |12609    |12628
  430         |12665         |        22         |12665    |12687
  431         |12707         |        35         |12707    |12742
  432         |12730         |        35         |12742    |12777
  433         |12774         |        31         |12777    |12808
  434         |12806         |        11         |12808    |12819
  435         |12847         |        34         |12847    |12881
  436         |12885         |         2         |12885    |12887
  437         |12933         |        23         |12933    |12956
  438         |12992         |        19         |12992    |13011
  439         |13033         |        34         |13033    |13067
  440         |13047         |        23         |13067    |13090
  441         |13071         |        27         |13090    |13117
  442         |13130         |         3         |13130    |13133
  443         |13174         |        30         |13174    |13204
  444         |13187         |        35         |13204    |13239
  445         |13194         |        15         |13239    |13254
  446         |13197         |        32         |13254    |13286
  447         |13216         |        38         |13286    |13324
  448         |13233         |        30         |13324    |13354
  449         |13260         |         9         |13354    |13363
  450         |13265         |        28         |13363    |13391
  451         |13291         |         7         |13391    |13398
  452         |13346         |        39         |13398    |13437
  453         |13363         |        24         |13437    |13461
  454         |13385         |        15         |13461    |13476
  455         |13392         |        37         |13476    |13513
  456         |13447         |        12         |13513    |13525
  457         |13458         |        34         |13525    |13559
  458         |13500         |        35         |13559    |13594
  459         |13527         |        17         |13594    |13611
  460         |13571         |         9         |13611    |13620
  461         |13601         |         4         |13620    |13624
  462         |13637         |        20         |13637    |13657
  463         |13691         |        14         |13691    |13705
  464         |13719         |         7         |13719    |13726
  465         |13777         |        23         |13777    |13800
  466         |13836         |         5         |13836    |13841
  467         |13890         |        24         |13890    |13914
  468         |13939         |        18         |13939    |13957
  469         |13952         |        20         |13957    |13977
  470         |13964         |         4         |13977    |13981
  471         |14023         |        35         |14023    |14058
  472         |14057         |        28         |14058    |14086
  473         |14068         |        32         |14086    |14118
  474         |14110         |        17         |14118    |14135
  475         |14110         |        36         |14135    |14171
  476         |14138         |        39         |14171    |14210
  477         |14150         |         5         |14210    |14215
  478         |14155         |        12         |14215    |14227
  479         |14214         |        22         |14227    |14249
  480         |14240         |        34         |14249    |14283
  481         |14251         |        22         |14283    |14305
  482         |14282         |         6         |14305    |14311
  483         |14332         |        11         |14332    |14343
  484         |14333         |         5         |14343    |14348
  485         |14337         |        24         |14348    |14372
  486         |14385         |        17         |14385    |14402
  487         |14406         |         1         |14406    |14407
  488         |14410         |        34         |14410    |14444
  489         |14456         |        17         |14456    |14473
  490         |14457         |        32         |14473    |14505
  491         |14493         |        39         |14505    |14544
  492         |14549         |        14         |14549    |14563
  493         |14559         |        22         |14563    |14585
  494         |14572         |        24         |14585    |14609
  495         |14619         |        27         |14619    |14646
  496         |14630         |        30         |14646    |14676
  497         |14689         |        33         |14689    |14722
  498         |14690         |        13         |14722    |14735
  499         |14731         |         9         |14735    |14744
  500         |14757         |        17         |14757    |14774
  501         |14793         |        27         |14793    |14820
  502         |14840         |         2         |14840    |14842
  503         |14879         |        30         |14879    |14909
  504         |14898         |        29         |14909    |14938
  505         |14915         |        39         |14938    |14977
  506         |14970         |        35         |14977    |15012
  507         |15012         |        23         |15012    |15035
  508         |15014         |        27         |15035    |15062
  509         |15064         |        37         |15064    |15101
  510         |15064         |        29         |15101    |15130
  511         |15116         |        10         |15130    |15140
  512         |15153         |        29         |15153    |15182
======================================================================
                          Scheduling Results
======================================================================
__________________________________________________
Total Time Elapsed:           15182
CPU Utilization:              71.74%
Throughput:                   21.23
Average Waiting Time:         17.65
Average Turnaround Time       38.88
